#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target       ts_start         ts_end
read      217.4    70.2   118.1   160.7   167.6   209.7   230.1   241.8   250.4   260.7   272.9   293.2   340.1   519.3  3153.3  29965.0    30000  1745427865555  1745427875699
read      234.9   197.0   118.1   156.5   164.1   206.2   228.9   242.4   252.5   265.7   283.1   317.5   991.3  2606.9  6232.3  29997.1    30005  1745427877211  1745427887335
read      239.5   237.9   109.4   155.3   163.3   204.9   227.7   241.1   251.5   264.8   282.5   317.5  1344.0  3275.6  6375.4  30004.4    30010  1745427888844  1745427898942
read      246.4   244.5   118.1   158.7   165.9   209.3   232.2   246.5   256.9   270.6   290.4   334.2  1420.8  3245.8  6346.9  29986.9    30015  1745427900452  1745427910554
read      241.6   260.0   118.1   155.6   163.1   201.9   223.3   235.2   245.5   256.9   273.4   310.9  1478.8  3319.0  6320.3  30122.0    30020  1745427912066  1745427922166
read      241.5   293.5   118.1   156.0   163.5   203.5   225.5   238.0   248.4   260.8   277.0   314.8  1439.8  3320.9  6360.6  29998.2    30025  1745427923678  1745427933777
read      242.6   263.4   118.1   155.9   163.5   203.2   225.4   237.7   248.2   260.6   276.7   314.1  1484.6  3333.5  6399.7  30003.0    30030  1745427935289  1745427945390
read      240.8   264.4   118.1   155.2   162.8   201.1   222.5   234.7   245.1   256.7   273.3   309.5  1486.6  3336.7  6372.3  30066.3    30035  1745427946900  1745427957000
read      237.2   235.4   118.1   154.8   162.6   202.5   223.9   235.6   245.9   257.4   273.6   310.7  1318.4  3138.2  6301.7  29985.7    30040  1745427958510  1745427968611
read      241.5   250.2   118.1   157.1   164.4   203.7   224.8   236.3   246.6   257.9   273.4   309.5  1450.1  3257.0  6283.8  30043.1    30045  1745427970121  1745427980222
read      239.2   254.9   118.1   154.3   162.2   201.2   222.5   234.4   244.4   255.5   272.2   307.0  1445.9  3368.0  6253.9  30085.3    30050  1745427981733  1745427991834
read      240.9   252.7   118.1   155.0   163.3   203.4   225.1   237.2   247.7   259.8   275.6   312.6  1434.3  3326.1  6364.0  30027.4    30055  1745427993346  1745428003448
read      237.1   243.5   118.1   153.8   162.0   201.3   222.1   233.8   243.6   254.4   271.1   306.2  1392.6  3248.6  6333.7  30111.3    30060  1745428004959  1745428015061
read      247.2   258.3   118.1   158.3   165.7   207.7   229.7   243.0   252.8   265.9   283.6   321.8  1478.8  3343.0  6317.5  30002.3    30065  1745428016572  1745428026671
read      241.5   252.3   118.1   156.0   163.5   203.7   225.3   237.2   247.6   259.7   275.9   316.0  1412.2  3345.5  6295.0  29995.3    30070  1745428028181  1745428038283
read      243.6   253.4   127.6   160.4   166.3   205.2   226.3   238.2   248.3   260.2   275.7   314.4  1430.4  3305.4  6359.7  30163.8    30075  1745428039794  1745428049895
read      213.5    69.9   118.1   155.9   164.3   206.4   226.1   236.3   245.3   254.3   267.8   287.9   339.7   644.8  2986.8  30080.3    30080  1745428051406  1745428061506
