Timestamp start: 1747265176814
Timestamp end: 1747266077065

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      159.2    87.1    59.1    88.6    99.6   153.5   171.7   182.2   189.5   199.0   212.4   234.0   293.8  1061.7  2133.0   8098.4     8195
read      275.8   313.7    54.7   102.4   116.7   207.3   255.6   284.6   306.8   335.4   378.8   524.3  1571.3  3378.0  7391.1 158080.2   158594
read      192.9   137.8    54.7    91.3   101.6   169.5   208.5   232.7   251.7   273.5   301.6   343.3   451.7  2078.3  3828.6 149671.8   149766
read      163.6    77.4    59.1    90.3   102.9   159.3   178.8   189.5   197.6   207.4   220.5   243.6   296.3   628.5  2166.1  10413.2    10382
read      305.2   299.5    59.1   114.8   133.0   236.5   289.4   321.7   347.5   381.2   430.3   674.6  1552.9  2751.3  7061.2 170501.0   170548
read      189.1   103.3    54.7    92.0   102.1   168.7   207.5   231.8   250.5   272.4   300.0   341.3   429.1  1072.0  3198.1 150519.8   150565
read      188.1   111.0    54.7    88.7    98.4   165.8   206.5   232.3   252.2   274.7   303.1   343.4   433.1  1398.1  2622.3 137044.6   137144
read      187.8    99.6    54.7    89.9    99.8   167.6   207.4   232.4   251.6   273.8   301.9   341.9   424.1   986.6  2935.7 143626.0   143496
read      186.9   103.7    54.7    89.8    99.9   166.9   205.9   230.7   249.6   271.7   299.3   339.9   421.7   813.2  3250.7 145139.2   144743
read      186.3    95.2    50.7    85.4    94.8   164.2   209.1   237.6   259.0   282.3   310.2   348.3   426.7   638.1  2605.8 116492.8   116745
read      186.4   106.8    50.7    88.1    97.6   165.1   206.7   233.3   253.7   277.0   305.6   345.2   425.0   699.8  2533.8 129065.0   129314
read      187.9   101.1    54.7    90.8   100.9   167.8   207.0   231.9   251.0   273.0   300.9   341.2   424.0   889.3  2673.5 144852.8   144723
read      190.8   116.2    54.7    87.1    96.5   168.1   213.2   240.9   261.7   285.1   313.7   355.7   446.9   915.5  2836.9 117316.0   117379
read      196.6    98.7    50.7    88.9    99.2   175.3   220.0   247.3   267.7   291.5   320.9   368.4   470.2   883.3  1737.6 120262.6   119931
read      187.3   109.8    50.7    87.8    97.3   165.0   206.8   233.4   254.0   277.5   306.4   346.1   429.2   849.0  3172.4 131983.8   132052
read      186.2    99.6    54.7    89.4    99.3   166.2   205.2   230.4   249.7   272.1   299.9   340.4   423.5   796.7  2825.6 143262.6   143350
read      186.8    94.3    54.7    90.3   100.4   167.2   206.4   231.2   250.5   272.8   300.5   341.1   421.7   725.5  2517.1 143682.4   143518
read      201.1   117.3    54.7    99.2   111.6   183.6   221.6   244.4   261.5   281.6   307.6   346.5   437.2  1003.3  4932.5 173313.4   172981
read      192.2   137.4    50.7    85.5    94.8   169.7   220.4   250.0   270.0   292.1   317.7   354.9   427.2   643.8  4004.2  94044.8    94027
read      200.7   190.2    54.7    99.1   111.2   180.5   217.0   238.7   255.2   274.4   299.6   338.7   427.5  2725.1  7114.3 170140.8   170019
read      202.9   105.0    54.7   102.2   114.8   187.0   223.9   245.6   261.9   281.2   306.5   344.5   433.0  1016.0  3127.9 178749.4   179090
read      200.9    87.5    50.7    86.0    96.4   194.6   236.0   258.3   273.4   291.5   314.1   346.5   416.7   575.9  1290.0  47245.2    47130
read      188.5    91.5    54.7    87.8   100.4   184.1   213.9   230.0   241.5   254.3   271.1   296.1   356.2   784.2  2978.9  19622.8    19439
read      243.2   229.2    50.7    91.3   102.3   180.8   228.4   261.1   287.3   321.2   381.8   675.0  1329.2  1971.6  2866.3 129059.6   128963
read      189.6    72.9    54.7    90.9   104.0   186.9   214.6   229.9   241.1   254.2   271.3   296.2   355.9   604.9  2060.1  23710.4    23787
read      222.0   128.0    50.7    82.9    92.5   200.4   263.1   298.0   321.4   346.3   374.8   418.2   523.5  1193.1  2569.4  61824.0    61848
read      194.9   124.0    50.7    84.0    93.5   166.7   217.0   248.8   271.2   296.0   327.3   374.7   507.1  1335.2  3113.4 101872.2   101968
read      187.2    94.0    50.7    84.8    94.2   165.0   211.8   241.1   262.4   285.7   313.2   351.8   428.0   633.8  1686.0 108524.8   108767
